system:index,count,max,mean,median,min,p25,p75,stddev,year,.geo
0,20478,0.9265725016593932,0.6898183272138982,0.7774180030096759,-0.4969696998596191,0.5664043973100878,0.8712623974235544,0.2232658060169856,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,20478,0.92592591047287,0.6917700009446515,0.785265499417406,-0.1294642835855484,0.5505101311969638,0.8790826002518409,0.2249752765699056,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,20478,0.859611988067627,0.5895675546843194,0.6523467740723675,-0.3466666638851166,0.4648379814095408,0.7540321742038107,0.197617977900994,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,20478,0.905813217163086,0.6376053355277591,0.7069795959637769,-0.4168519377708435,0.496128327267558,0.8319968112703873,0.225555810665145,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,20478,0.9007819890975952,0.6364525939765868,0.7071877000318937,-0.2830188572406769,0.503844297428279,0.8241887548354274,0.2236508543755576,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,20478,0.9151177406311036,0.635926707650302,0.7071158575338613,-0.4120267331600189,0.4729997744803544,0.8474809905926058,0.2378298994497619,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,20478,0.910655438899994,0.6158431692589258,0.6762410740876906,-0.3001215159893036,0.4491260068984385,0.8320398894125337,0.237486310673239,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,20478,0.8840694427490234,0.5949114574718487,0.6681284144717164,-0.2903589010238647,0.4571474723293751,0.7774978992026855,0.2216718318156801,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,20478,0.9090909361839294,0.6265932302097413,0.6914190237614488,-0.1973559558391571,0.4650068999173737,0.8478731424129432,0.2437038482284192,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
